,1,2,5,10,20,30,40,50,60,70,80,90,100,,,,,,,,,,,,,
,1,2,5,10,20,30,40,50,60,70,80,90,100,1,2,5,10,20,30,40,50,60,70,80,90,100
27,34.39251208,17.78484011,9.680421114,3.978505135,2.195058107,2.45878005,2.874511957,2.28174305,2.370476007,2.283580065,2.647286892,2.234692097,2.19785881,,,,,,,,,,,,,
28,35.48762393,18.19405103,9.898999929,4.121958017,2.239308119,2.55659914,2.888510942,2.296121836,2.377499104,2.299831867,2.665009975,2.235490084,2.257476807,,,,,,,,,,,,,
29,37.009794,19.12491608,10.07585311,4.218377113,2.408318043,2.615730047,2.916325808,2.307680845,2.380311966,2.300122023,2.677584887,2.241798162,2.270149946,,,,,,,,,,,,,
30,38.40276098,20.12764812,10.16804004,4.228773117,2.411664963,2.623025179,2.944308996,2.414654016,2.383072138,2.31300807,2.686881065,2.255230188,2.288273811,,,,,,,,,,,,,
31,39.47863007,20.57836008,11.00867105,4.624859095,2.414510965,2.635374069,2.962926865,2.450444937,2.392179966,2.397804022,2.700154066,2.318236113,2.29585886,,,,,,,,,,,,,
32,40.77717113,21.17627311,11.36497998,4.738570213,2.441529036,2.647950172,2.99008894,2.514214039,2.428102016,2.404835939,2.709455013,2.329104185,2.345124006,,,,,,,,,,,,,
33,42.1838901,21.73127508,11.40196395,4.841948032,2.602979183,2.654728174,3.010776997,2.516923904,2.428640127,2.428680897,2.777659893,2.342436075,2.365080833,,,,,,,,,,,,,
34,43.34581304,22.61657596,11.77250409,4.859563112,2.625823975,2.675040007,3.046801805,2.518975973,2.430917025,2.662225008,2.777992964,2.344346046,2.413366795,,,,,,,,,,,,,
35,44.41130614,23.55282712,12.11153007,4.861486197,2.653342962,2.725149155,3.055609941,2.557382822,2.44918108,2.688910961,2.830430031,2.389204025,2.430836916,,,,,,,,,,,,,
36,45.78064609,24.17372108,12.56132197,4.886627197,2.657011032,2.75022316,3.095181942,2.600234032,2.457451105,2.711886883,2.835076094,2.423810005,2.433532953,,,,,,,,,,,,,
37,47.36730194,24.6964891,12.86003995,4.983038187,3.293847084,2.76060605,3.130503893,2.695371866,2.513704062,2.750098944,2.882180929,2.503765106,2.442652941,,,,,,,,,,,,,
38,48.95106602,25.91480017,13.18088293,4.995163202,3.351922989,2.868690014,3.162120819,2.70419693,2.523345947,2.755985022,2.917354107,2.536502123,2.453058958,,,,,,,,,,,,,
39,50.27051306,26.10986495,13.48771,5.493131161,3.408188105,2.897965193,3.173541784,2.739855051,2.540869951,2.757897854,2.922868013,2.581640005,2.505982876,,,,,,,,,,,,,
40,51.90067697,27.35755801,13.48991394,5.534200191,3.422803164,2.958786964,3.183671951,2.760478973,2.601824045,2.769083977,3.095439911,2.608088017,2.523214817,,,,,,,,,,,,,
