5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,No Autoscaler,,Autoscaler Speed
Stan. Deviation,Nodes=Actor,Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,,GFlop/s Calc
,8,6,5,"245,744,640,000,000.00",239.5190939,3.874151651,24.89965642,1.468497201,212.9812672,253.766002,8020.565445,7945.997313,6415.069809,1145.931033,1484.488637,1838.755161,2534.4,2056.729828,1474.899078,77.69555557,,1691.289263
,8,6,5,"245,744,640,000,000.00",231.7818833,3.99250756,22.97487934,1.464868023,207.1736489,319.316237,8646.413994,8575.778659,7075.341823,1177.848863,1375.471918,1667.16224,2534.4,2056.729828,1474.899078,79.85962437,,1691.289263
,8,6,5,"245,744,640,000,000.00",227.3043824,3.770714025,24.75996405,1.668564701,200.7156089,292.700696,8583.309898,8515.749083,6995.730794,1214.248306,1385.167952,1686.134454,2534.4,2056.729828,1474.899078,82.32755208,,1691.289263
,8,6,5,"245,744,640,000,000.00",230.6821927,4.02807735,24.98593059,1.470845142,204.057008,290.670569,8645.694719,8578.473986,7081.48562,1195.675604,1375.039749,1665.715833,2534.4,2056.729828,1474.899078,81.06829966,,1691.289263
,8,6,5,"245,744,640,000,000.00",236.2103521,3.959495639,24.94865711,1.56364802,209.5228867,278.254642,8593.404574,8521.518167,6985.397053,1164.189086,1384.230191,1688.628811,2534.4,2056.729828,1474.899078,78.93347441,79.97690122,1691.289263
,13,6,5,"399,335,040,000,000.00",243.584407,6.221537873,23.83666959,2.477986581,217.0035213,332.801251,12674.29197,12564.30355,10144.34313,1819.447314,2479.097468,3070.492858,4118.4,3342.185971,2396.711001,75.91433897,,2748.345052
,13,6,5,"399,335,040,000,000.00",237.583933,6.506303824,30.13206077,2.46994365,204.7205117,350.964868,14200.83063,14085.64061,11624.21486,1927.381449,2211.339475,2679.590277,4118.4,3342.185971,2396.711001,80.41776618,,2748.345052
,13,6,5,"399,335,040,000,000.00",238.066399,6.886066511,26.45493312,2.378785884,208.9451659,396.509212,14217.6919,14100.9794,11601.35061,1889.681868,2208.934021,2684.871286,4118.4,3342.185971,2396.711001,78.84479469,,2748.345052
,13,6,5,"399,335,040,000,000.00",232.5340394,6.515452884,24.10100638,2.473376146,205.6683579,365.565625,14195.5765,14083.83481,11624.35985,1918.572659,2211.62301,2679.556855,4118.4,3342.185971,2396.711001,80.05022957,,2748.345052
,13,6,5,"399,335,040,000,000.00",236.0040792,6.624509297,22.29227204,2.473067696,210.9781265,398.592442,14140.80563,14023.04252,11510.0471,1870.849406,2221.210773,2706.169042,4118.4,3342.185971,2396.711001,78.05903195,78.65723227,2748.345052
