5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,Autoscaler,Autoscaler Speed
Stan. Deviation,Node/Actor(s),Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,GFlop/s Calc
,21,1,1,"656,236,875,000,000.00",227.5409474,2.053092921,6.463873303,0.364588032,220.2717526,14.98889,4206.915282,4200.698781,3046.75243,2974.291873,3280.638554,4523.168419,6652.8,4756.028953,3448.762568,86.24229169,4552.169321
,34,1,1,"1,062,478,750,000,000.00",228.347847,3.404642044,9.231224557,0.37007439,218.0834149,23.581389,6758.828846,6748.642399,4893.010392,4863.638268,5352.821407,7382.832777,10771.2,7700.237353,5583.710824,87.10405,7328.174306
,34,1,1,"1,062,478,750,000,000.00",226.6468771,3.302073011,9.154849924,0.3578810538,216.4930503,24.089442,6768.240724,6756.896236,4898.897537,4899.581217,5346.282707,7373.960616,10771.2,7700.237353,5583.710824,87.7477608,7379.191681
,34,1,1,"1,062,478,750,000,000.00",225.9780229,3.38394113,9.23676406,0.3618119853,215.6772334,22.295723,6775.399808,6765.799323,4908.85212,4917.994097,5339.247556,7359.007079,10771.2,7700.237353,5583.710824,88.07752143,7364.341975
,34,1,1,"1,062,478,750,000,000.00",229.0349673,3.345397774,9.241022244,0.362415188,218.755787,24.106165,6784.311587,6774.208732,4919.971681,4848.884024,5332.619488,7342.375088,10771.2,7700.237353,5583.710824,86.83981275,7357.452472
,34,1,1,"1,062,478,750,000,000.00",228.4658474,3.28431659,9.088985634,0.3569984939,218.39613,23.546785,6766.550944,6756.264881,4892.721961,4856.976252,5346.782303,7383.268003,10771.2,7700.237353,5583.710824,86.98473838,7361.261734
,55,1,1,"1,718,715,625,000,000.00",236.0454572,5.350360208,13.59677859,0.4731403128,220.9369598,38.361438,11037.7844,11020.1904,7993.02471,7762.589079,8577.833591,11826.48156,17424,12456.26631,9032.473391,85.94090171,11851.60597
,55,1,1,"1,718,715,625,000,000.00",238.4220149,5.270601832,15.33852168,0.4792893939,221.5971502,41.477695,10987.65868,10969.13101,7946.273191,7739.297459,8617.761908,11896.0621,17424,12456.26631,9032.473391,85.68303635,11887.76972
,55,1,1,"1,718,715,625,000,000.00",230.7051318,5.589144894,13.80544563,0.574700119,215.309221,38.950615,11031.48751,11013.61696,7983.677675,7961.295202,8582.95324,11840.32763,17424,12456.26631,9032.473391,88.14080991,11832.74869
,55,1,1,"1,718,715,625,000,000.00",235.6642147,5.363890783,13.56654003,0.4684686027,220.5521008,39.687247,11050.73566,11033.25748,8000.203414,7776.27001,8567.674557,11815.86948,17424,12456.26631,9032.473391,86.09236555,11840.0541
,55,1,1,"1,718,715,625,000,000.00",244.1567054,5.382054421,13.59967643,0.4737613453,228.9378045,38.298653,11055.41602,11037.42825,8007.074431,7491.843834,8564.437045,11805.73007,17424,12456.26631,9032.473391,82.94343653,11804.96069
,89,1,1,"2,781,194,375,000,000.00",244.4453215,8.448299173,20.53289851,0.6678782701,221.4165026,63.060258,17903.94015,17874.93915,12952.56201,12523.14262,13847.67228,19110.21921,28195.2,20156.50366,14616.18421,85.67997252,18892.0759
,89,1,1,"2,781,194,375,000,000.00",252.137129,9.012139047,21.12391201,0.6626379332,228.6091859,68.165399,17867.87632,17837.45703,12939.85279,12130.55459,13876.7706,19128.98882,28195.2,20156.50366,14616.18421,82.99399086,18958.55296
,89,1,1,"2,781,194,375,000,000.00",239.5566067,8.424020189,18.4952268,0.6602000459,218.7187858,61.794566,17901.79816,17870.79449,12961.67056,12677.57878,13850.88388,19096.78989,28195.2,20156.50366,14616.18421,86.73658317,18943.6638
,89,1,1,"2,781,194,375,000,000.00",242.769834,8.631036512,20.72928572,0.664998671,219.6027977,61.335819,17944.06365,17915.89902,13012.80212,12626.42302,13816.01332,19021.75235,28195.2,20156.50366,14616.18421,86.38658924,18898.092
,89,1,1,"2,781,194,375,000,000.00",241.9565546,8.467924051,20.45017713,0.6679394827,219.029661,64.931178,17900.78145,17869.76242,12971.08422,12659.19322,13851.68384,19082.93056,28195.2,20156.50366,14616.18421,86.61079416,18876.73318
,,,,,,,,,,,,,,,,19088.13617,28195.2,20156.50366,,,18913.82357
,,,,,,,,,,,,,,,,,0.6768148678,0.9469963883,,0.714891317,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1420.8,,,,,,Manual,Autoscaler,,0.7161033447,
,,,,,,,,,,,,,,,,,19088.13617,18913.82357,,0.2838966553,
,,,,,,,,,,,,13.38028169,,,,,,0.9908680138,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,compared to theory,compared to JS,compared to eachother,,
,,,,,,,,,,,,,,,,js,0.5183926418,,,,
,,,,,,,,,,,,,,,,not-scaled,0.448983984,0.8661079416,,,
,,,,,,,,,,,,,,,,scaled,0.4181584255,0.8066442149,0.9313437461,,
