,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Jetstream Speed,Theoretical,,No Autoscaler,5 trials/test,,Autoscaler Speed
Node=Actor(s),Workers/Node,Msg/Worker,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Calc Time,Hashes,Hashrate,HASHRATE,JS Hashrate Script,Ideal Hashrate,Percentage,% Average,hashes/msg:,Average Worktime = sum(in script worktimes)/len(in script worktimes),HASHRATE
13,6,6,256.8337107,6.79038467,22.28765921,2.695646871,231.6294108,405.149204,12368.95393,12372.17317,1404000000,5466572.11,8851476.493,9524153.165,8853780.248,57.39693614,,,,5251553.78
13,6,6,207.4636869,6.514341938,20.08308251,2.669955037,184.4506864,483.295232,12292.88949,12301.74382,1404000000,6767449.385,8902152.543,9524153.165,8908564.586,71.05565469,,,,5222132.483
13,6,6,220.3021298,6.457043734,18.0098554,2.766150258,199.2634943,542.237271,12857.08031,12872.35952,1404000000,6373065.939,8507531.182,9524153.165,8517641.435,66.91477792,,,,5337947.898
13,6,6,208.4011169,6.778936578,16.40452666,2.762928595,188.9739876,474.298288,12401.54078,12404.32763,1404000000,6737008.041,8828531.722,9524153.165,8830515.653,70.73603211,,,,5182181.343
13,6,6,215.2823091,6.323622904,19.83903144,2.879894687,192.2929493,463.311902,12495.9989,12502.86355,1404000000,6521669.18,8758953.464,9524153.165,8763765.175,68.47505565,66.9156913,,,5356910.662
21,6,6,259.9221906,10.64564468,18.28548046,3.978344247,237.2760573,719.058083,19872.19941,19875.85684,2268000000,8725688.233,14377644.31,15385170.5,14380290.48,56.71492711,,,,9282682.615
21,6,6,223.5242305,10.39892008,18.92443802,4.08521986,200.1054662,897.090162,20485.26213,20496.49645,2268000000,10146550.98,13942285.24,15385170.5,13949931.33,65.95020175,,,,9401581.188
21,6,6,216.6577027,10.46442813,18.9550843,4.075405288,193.2486216,800.923619,20325.82532,20340.3404,2268000000,10468125.39,14049322.4,15385170.5,14059355.3,68.04036001,,,,9373831.542
21,6,6,224.952143,10.62113824,21.08979996,4.179657503,199.2638073,759.086451,20377.31864,20388.69186,2268000000,10082144.45,14016004.65,15385170.5,14023827.43,65.53157439,,,,9321306.306
21,6,6,217.9215535,10.38664852,18.77256954,4.078942189,194.6696552,735.814746,20361.27415,20371.99295,2268000000,10407414.8,14027493.56,15385170.5,14034878.07,67.64575535,64.77656372,,,9361741.085
